dimension,value,count
definition_quality_flag,raw_markup,94291
definition_quality_flag,vi_contains_cjk,9015
definition_quality_flag,vi_equals_en,3181
definition_review_status,raw,704121
example_quality_flag,example_too_long,32913
example_quality_flag,vi_contains_cjk,13892
example_quality_flag,vi_equals_en,672
example_quality_flag,missing_vi,380
example_review_status,raw,361167
level,advanced,390630
level,intermediate,205005
level,beginner,108486
part_of_speech,noun,415716
part_of_speech,adjective,180932
part_of_speech,verb,70267
part_of_speech,adverb,25830
part_of_speech,prefix,2832
part_of_speech,interjection,2034
part_of_speech,suffix,1389
part_of_speech,phrase,1106
part_of_speech,preposition,890
part_of_speech,pronoun,681
part_of_speech,contraction,637
part_of_speech,symbol,528
part_of_speech,numeral,329
part_of_speech,conjunction,310
part_of_speech,determiner,272
part_of_speech,letter,122
part_of_speech,particle,93
part_of_speech,infix,47
part_of_speech,interfix,35
part_of_speech,article,27
part_of_speech,number,21
part_of_speech,proverb,9
part_of_speech,postposition,3
part_of_speech,quotations,3
part_of_speech,circumfix,3
part_of_speech,affix,1
part_of_speech,english,1
part_of_speech,derivations,1
part_of_speech,participle,1
part_of_speech,conjuction,1
pronunciation_accent,US,76229
pronunciation_accent,UK,29792
